"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2019","Verify HRM button expands Menu Successfully","chromium","Tue Oct 21 22:56:44 GMT+06:00 2025","passed","Tue Oct 21 22:56:46 GMT+06:00 2025","NGO Forum ERP","example.spec.js","",""
"","4669","Verify HRM button expands Menu Successfully","chromium","Sat Oct 25 13:21:04 GMT+06:00 2025","passed","Sat Oct 25 13:21:08 GMT+06:00 2025","NGO Forum ERP","Specs\example.spec.js","",""
"","13180","Successfully Login with valid Information","chromium","Sat Oct 25 13:20:45 GMT+06:00 2025","passed","Sat Oct 25 13:20:58 GMT+06:00 2025","NGO Forum ERP","Specs\example.spec.js","",""
"","29","Insert Number Successfully","chromium","Sat Oct 25 13:21:11 GMT+06:00 2025","passed","Sat Oct 25 13:21:11 GMT+06:00 2025","NGO Forum ERP","Specs\example.spec.js","",""
"","2693","New Employee plus Button works properly","chromium","Sat Oct 25 13:21:08 GMT+06:00 2025","passed","Sat Oct 25 13:21:11 GMT+06:00 2025","NGO Forum ERP","Specs\example.spec.js","",""
"","42125","Insert Password Successfully","chromium","Sat Oct 25 13:21:11 GMT+06:00 2025","passed","Sat Oct 25 13:21:53 GMT+06:00 2025","NGO Forum ERP","Specs\example.spec.js","",""
"","13152","Successfully Login with valid Information","chromium","Tue Oct 21 22:56:26 GMT+06:00 2025","passed","Tue Oct 21 22:56:39 GMT+06:00 2025","NGO Forum ERP","example.spec.js","",""
"","15382","New Employee plus Button works properly","chromium","Tue Oct 21 22:56:46 GMT+06:00 2025","passed","Tue Oct 21 22:57:01 GMT+06:00 2025","NGO Forum ERP","example.spec.js","",""
"","29","Insert Employee Email Successfully","chromium","Sat Oct 25 13:21:11 GMT+06:00 2025","passed","Sat Oct 25 13:21:11 GMT+06:00 2025","NGO Forum ERP","Specs\example.spec.js","",""
"","93","Insert New Employee Successfully","chromium","Sat Oct 25 13:21:11 GMT+06:00 2025","passed","Sat Oct 25 13:21:11 GMT+06:00 2025","NGO Forum ERP","Specs\example.spec.js","",""
